trade_date,positions,daily_return,equity
20240129,10,-0.01874628663063044,0.9812537133693695
20240130,10,-0.02060803174972532,0.9610320056897176
20240131,10,-0.01373272538185116,0.9478344170724111
20240201,10,-0.016730552911758408,0.9319766232059955
20240202,10,-0.05118689537048334,0.8842716333062138
20240205,10,0.03691457509994504,0.9169141449226472
20240206,10,0.01479181647300721,0.9304769706758473
20240207,10,0.02728623151779172,0.955866180719682
20240208,10,-0.0001872658729553103,0.9556871796049211
20240219,10,0.00610413551330566,0.9615208236575583
20240220,10,0.0119742751121521,0.973034338526097
20240221,10,0.01607941985130308,0.988680166184993
20240222,10,0.011752367019653298,1.0002994983630509
20240223,10,0.01547564268112182,1.0157797759738227
20240226,10,0.02918637394905086,1.0454267043652778
20240227,10,-0.05848258137702937,0.9842874520535159
20240228,10,0.028557133674621538,1.0123958803960607
20240229,10,0.0009548187255859596,1.0133625349403688
20240301,10,0.011792880296707161,1.0253129980120883
20240304,10,-0.01837032437324521,1.0064776656545016
20240305,10,0.009319937229156491,1.0158579743209495
20240306,10,-0.012989181280136089,1.002662810937623
20240307,10,0.01736859083175656,1.0200776510430174
20240308,10,0.030648386478424015,1.0513413851301867
20240311,10,0.01381689906120299,1.065867662927396
20240312,10,-0.0003690183162689105,1.065474338237057
20240313,10,-0.00612815618515016,1.0589449450810708
20240314,10,0.012893241643905613,1.0725981781455933
20240315,10,0.007077020406722989,1.0801889773405435
20240318,10,-0.008094900846481309,1.0714449546735096
20240319,10,0.008986192941665621,1.08107316576258
20240320,10,0.00585888624191282,1.0874070504599676
20240321,10,-0.01382824778556821,1.0723701163224333
20240322,10,-0.020273447036743147,1.0506294775653844
20240325,10,0.0094397485256195,1.0605471556272046
20240326,10,-0.0248070657253265,1.0342380926327523
20240327,10,0.007007318735122681,1.0414853285958354
20240328,10,0.003913980722427369,1.0455616820946505
20240329,10,0.028134775161743102,1.0749783249381175
20240401,10,-0.0005042552947998099,1.0744362614259724
20240402,10,-0.004381084442138669,1.0697290654369693
20240403,10,-0.01637242436408993,1.0522150072230338
20240408,10,0.005241948366165129,1.0577306639610011
20240409,10,0.017735439538955698,1.076489982200181
20240410,10,0.00900208353996278,1.08618063494988
20240411,10,0.001314336061477669,1.087608241327673
20240412,10,-0.02113741636276244,1.0646190130911581
20240415,10,-0.038785350322723344,1.0233273917081855
